suite,imp,starttime,returnvalue,walltime,cputime,memory,blkio-read,blkio-write,pressure-cpu-some,pressure-io-some,pressure-memory-some
knucleotide,amber,2026-09-24T12:48:16.007278+10:00,0,0.04117766399997436,0.03929,25022464,0,0,0.000089,0.000644,0
knucleotide,amber,2026-09-24T12:48:16.320541+10:00,0,0.04157049000002644,0.039491,25018368,0,0,0.000065,0.000628,0
knucleotide,amber,2026-09-24T12:48:16.626757+10:00,0,0.04342264100000648,0.040622,25022464,0,0,0.000152,0.001049,0
nbody,gcc,2026-09-24T12:48:17.025211+10:00,0,0.043249965999962114,0.04184,2371584,0,0,0.000054,0.000448,0
nbody,gcc,2026-09-24T12:48:17.336906+10:00,0,0.0442801279999685,0.042202,2412544,0,0,0.000154,0.00094,0
nbody,gcc,2026-09-24T12:48:17.650128+10:00,0,0.04208793399993738,0.040846,2498560,0,0,0.00006,0.000428,0
nbody,gcc,2026-09-24T12:48:17.943186+10:00,0,0.0422484489999988,0.040915,2502656,0,0,0.000099,0.000459,0
nbody,gcc,2026-09-24T12:48:18.246083+10:00,0,0.04233591299998807,0.040905,2502656,0,0,0.00007,0.000547,0
nbody,growler,2026-09-24T12:48:18.546034+10:00,0,0.7974339700000428,0.788037,4243456,0,0,0.000079,0.008096,0
nbody,growler,2026-09-24T12:48:19.612207+10:00,0,0.7865002389999063,0.784522,4210688,0,0,0.000081,0.000062,0
nbody,growler,2026-09-24T12:48:20.651488+10:00,0,0.821206587000006,0.819281,4046848,0,0,0.000109,0.000401,0
nbody,growler,2026-09-24T12:48:21.741215+10:00,0,0.7944234059999644,0.792524,4243456,0,0,0.000101,0.000538,0
nbody,growler,2026-09-24T12:48:22.791596+10:00,0,0.8004867800000284,0.797212,4042752,0,0,0.000466,0.00055,0
nbody,python3,2026-09-24T12:48:23.849219+10:00,0,3.4445004759999165,3.416005,15228928,0,0,0.001622,0.001376,0
nbody,python3,2026-09-24T12:48:27.703128+10:00,0,3.383045333000041,3.354955,15269888,0,0,0.000588,0.001614,0
nbody,python3,2026-09-24T12:48:31.481653+10:00,0,3.423846092999952,3.387871,15269888,0,0,0.00433,0.00158,0
nbody,python3,2026-09-24T12:48:35.285132+10:00,0,3.5152877909999916,3.484836,15491072,0,0,0.000305,0.000233,0
nbody,python3,2026-09-24T12:48:39.193695+10:00,0,3.569376023000018,3.538893,15454208,0,0,0.000619,0.001621,0
nbody,goal,2026-09-24T12:48:43.149016+10:00,0,2.4405866770000557,2.724475,16273408,0,0,0.016944,0.002144,0
nbody,goal,2026-09-24T12:48:46.009303+10:00,0,2.8054690149999715,3.136141,15126528,0,0,0.017497,0.000457,0
nbody,goal,2026-09-24T12:48:49.186808+10:00,0,2.764265779000084,3.086646,15040512,0,0,0.014488,0.000612,0
nbody,goal,2026-09-24T12:48:52.355818+10:00,0,2.86870130300008,3.206447,16408576,0,0,0.018201,0.000676,0
nbody,goal,2026-09-24T12:48:55.627692+10:00,0,2.869360416999939,3.20978,14888960,0,0,0.017223,0.000581,0
nbody,bqn,2026-09-24T12:48:58.899429+10:00,0,0.8829366469999513,0.871637,9310208,0,0,0.000222,0.009222,0
nbody,bqn,2026-09-24T12:49:00.049410+10:00,0,0.890059267999959,0.887043,9207808,0,0,0.000203,0.001277,0
nbody,bqn,2026-09-24T12:49:01.204159+10:00,0,0.9164505269999381,0.909889,9351168,0,0,0.003402,0.001339,0
nbody,bqn,2026-09-24T12:49:02.384587+10:00,0,0.8829148330000862,0.876911,9351168,0,0,0.002653,0.001336,0
nbody,bqn,2026-09-24T12:49:03.522185+10:00,0,0.8628056210000068,0.859801,9207808,0,0,0.000219,0.001354,0
nbody,l,2026-09-24T12:49:04.655126+10:00,0,1.9012669749999986,1.894549,12337152,0,0,0.000342,0.00803,0
nbody,l,2026-09-24T12:49:06.937525+10:00,0,1.9617448810000724,1.961683,12234752,0,0,0.000395,0.000445,0
nbody,l,2026-09-24T12:49:09.166533+10:00,0,1.8413043980000339,1.843418,12337152,0,0,0.000212,0.000366,0
nbody,l,2026-09-24T12:49:11.257474+10:00,0,1.8845596620000151,1.885429,12222464,0,0,0.000156,0.000207,0
nbody,l,2026-09-24T12:49:13.402309+10:00,0,1.8189820979999922,1.819553,12079104,0,0,0.000184,0.000315,0
nbody,amber,2026-09-24T12:49:15.480223+10:00,0,0.6461624769999617,0.636496,25735168,0,0,0.000107,0.008448,0
nbody,amber,2026-09-24T12:49:16.385220+10:00,0,0.6302617280000504,0.628099,25735168,0,0,0.000131,0.000937,0
nbody,amber,2026-09-24T12:49:17.280057+10:00,0,0.6357052650000696,0.633316,25665536,0,0,0.000398,0.000899,0
nbody,amber,2026-09-24T12:49:18.185297+10:00,0,0.6305252390000078,0.628315,25735168,0,0,0.000125,0.001066,0
nbody,amber,2026-09-24T12:49:19.087910+10:00,0,0.6351541529999167,0.63258,25808896,0,0,0.000113,0.00081,0
